Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue
3,713,1120,751,2139,2890
1,2171,3578,620,2171,2791
1,2171,3578,1264,2171,3435
1,344,540,83,344,427
4,344,540,741,1376,2117
1,713,1120,205,713,918
1,713,1120,172,713,885
1,1555,2443,864,1555,2419
1,1266,2320,567,1266,1833
4,1912,3400,5000,7648,12648
2,2171,3578,2528,4342,6870
1,487,783,280,487,767
1,1555,2443,375,1555,1930
1,344,540,110,344,454
1,2171,3578,1335,2171,3506
3,1252,2295,3060,3756,6816
1,420,769,188,420,608
1,1912,3400,876,1912,2788
3,2171,3578,1967,6513,8480
1,487,783,280,487,767
1,1555,2443,839,1555,2394
2,1555,2443,1678,3110,4788
3,713,1120,515,2139,2654
1,344,540,83,344,427
4,1555,2443,1402,6220,7622
3,1555,2443,1345,4665,6010
1,2171,3578,1335,2171,3506
1,1912,3400,740,1912,2652
4,1555,2443,1402,6220,7622
4,1083,1701,975,4332,5307
3,1555,2443,1711,4665,6376
1,344,540,83,344,427
1,1555,2443,864,1555,2419
4,1555,2443,3454,6220,9674
2,2171,3578,1240,4342,5582
1,487,783,124,487,611
2,1083,1701,1168,2166,3334
1,713,1120,228,713,941
1,2171,3578,1335,2171,3506
3,1252,2295,2027,3756,5783
1,420,769,318,420,738
3,2171,3578,2504,6513,9017
1,1555,2443,375,1555,1930
4,2171,3578,2479,8684,11163
4,1266,2320,3010,5064,8074
1,1083,1701,312,1083,1395
3,1555,2443,1125,4665,5790
3,713,1120,784,2139,2923
1,2171,3578,620,2171,2791
1,1266,2320,752,1266,2018
1,487,783,124,487,611
3,1555,2443,2517,4665,7182
4,713,1120,1046,2852,3898
4,1519,2443,3012,6076,9088
1,487,783,124,487,611
4,1266,2320,3010,5064,8074
1,2171,3578,942,2171,3113
2,713,1120,523,1426,1949
2,1083,1701,522,2166,2688
1,2171,3578,942,2171,3113
1,1555,2443,497,1555,2052
1,713,1120,396,713,1109
1,1555,2443,839,1555,2394
1,344,540,83,344,427
3,344,540,232,1032,1264
2,1083,1701,1100,2166,3266
1,344,540,191,344,535
1,1083,1701,584,1083,1667
2,2171,3578,2671,4342,7013
1,1252,2295,745,1252,1997
4,1266,2320,2267,5064,7331
1,2171,3578,620,2171,2791
2,713,1120,321,1426,1747
1,487,783,124,487,611
4,1519,2443,2328,6076,8404
4,2171,3578,5342,8684,14026
1,344,540,185,344,529
1,1083,1701,550,1083,1633
3,1555,2443,1711,4665,6376
2,1555,2443,994,3110,4104
1,2171,3578,1371,2171,3542
3,1555,2443,1711,4665,6376
1,344,540,66,344,410
1,713,1120,396,713,1109
3,1083,1701,1191,3249,4440
4,344,540,698,1376,2074
1,713,1120,172,713,885
1,2171,3578,1371,2171,3542
2,1912,3400,2500,3824,6324
2,713,1120,792,1426,2218
2,713,1120,523,1426,1949
1,1083,1701,261,1083,1344
4,713,1120,1583,2852,4435
2,2171,3578,2671,4342,7013
1,2171,3578,1371,2171,3542
2,2171,3578,2528,4342,6870
2,344,540,381,688,1069
3,1083,1701,731,3249,3980
1,2171,3578,763,2171,2934
1,713,1120,172,713,885
1,344,540,99,344,443
4,487,783,1059,1948,3007
4,1252,2295,2428,5008,7436
2,1252,2295,1902,2504,4406
3,1898,3375,3014,5694,8708
1,1083,1701,550,1083,1633
1,2171,3578,1371,2171,3542
4,1083,1701,1587,4332,5919
1,1252,2295,1020,1252,2272
3,713,1120,482,2139,2621
1,1083,1701,431,1083,1514
1,344,540,120,344,464
1,1083,1701,346,1083,1429
1,344,540,174,344,518
1,344,540,120,344,464
1,2171,3578,1371,2171,3542
3,2171,3578,4114,6513,10627
2,2171,3578,2742,4342,7084
2,420,769,498,840,1338
1,1912,3400,740,1912,2652
2,2171,3578,1240,4342,5582
1,1555,2443,570,1555,2125
4,713,1120,1538,2852,4390
3,713,1120,515,2139,2654
2,1266,2320,1922,2532,4454
4,1519,2443,3598,6076,9674
3,487,783,841,1461,2302
1,1555,2443,497,1555,2052
1,1519,2443,826,1519,2345
3,1083,1701,1650,3249,4899
4,1083,1701,1587,4332,5919
1,1266,2320,1008,1266,2274
2,1252,2295,1902,2504,4406
1,1555,2443,546,1555,2101
4,1555,2443,3161,6220,9381
2,1555,2443,994,3110,4104
3,713,1120,1154,2139,3293
2,344,540,381,688,1069
4,1555,2443,3454,6220,9674
1,713,1120,329,713,1042
1,344,540,185,344,529
1,1555,2443,302,1555,1857
4,1555,2443,2282,6220,8502
3,1555,2443,1271,4665,5936
1,344,540,191,344,535
1,1083,1701,261,1083,1344
4,713,1120,1583,2852,4435
4,344,540,330,1376,1706
2,344,540,381,688,1069
1,1555,2443,864,1555,2419
2,2171,3578,2671,4342,7013
3,2171,3578,4114,6513,10627
4,2171,3578,5485,8684,14169
3,1252,2295,3060,3756,6816
1,713,1120,396,713,1109
1,2171,3578,1371,2171,3542
2,1266,2320,1922,2532,4454
2,1252,2295,2040,2504,4544
4,1555,2443,3454,6220,9674
2,1519,2443,1653,3038,4691
4,1555,2443,2868,6220,9088
1,713,1120,396,713,1109
1,2171,3578,1371,2171,3542
1,344,540,185,344,529
4,2171,3578,5056,8684,13740
1,2171,3578,1371,2171,3542
3,1083,1701,1803,3249,5052
1,1555,2443,375,1555,1930
3,487,783,794,1461,2255
4,344,540,762,1376,2138
1,2171,3578,620,2171,2791
1,1555,2443,546,1555,2101
2,1519,2443,1506,3038,4544
1,487,783,280,487,767
1,1555,2443,570,1555,2125
4,713,1120,1046,2852,3898
2,344,540,154,688,842
4,1898,3375,4018,7592,11610
1,1555,2443,375,1555,1930
3,344,540,296,1032,1328
3,1555,2443,2151,4665,6816
2,1555,2443,1141,3110,4251
1,2171,3578,1371,2171,3542
1,2171,3578,1335,2171,3506
1,2171,3578,763,2171,2934
2,713,1120,792,1426,2218
1,1083,1701,601,1083,1684
2,713,1120,523,1426,1949
1,1083,1701,397,1083,1480
1,713,1120,205,713,918
4,1083,1701,1587,4332,5919
1,344,540,191,344,535
1,1555,2443,497,1555,2052
2,1083,1701,692,2166,2858
1,1519,2443,900,1519,2419
1,1519,2443,900,1519,2419
1,2171,3578,1335,2171,3506
1,1555,2443,570,1555,2125
1,1252,2295,951,1252,2203
4,1252,2295,4080,5008,9088
2,2171,3578,1240,4342,5582
2,1555,2443,750,3110,3860
4,1555,2443,2282,6220,8502
2,1555,2443,994,3110,4104
4,344,540,762,1376,2138
1,1555,2443,570,1555,2125
1,713,1120,396,713,1109
1,713,1120,228,713,941
3,1555,2443,1711,4665,6376
4,1083,1701,2404,4332,6736
4,1083,1701,1043,4332,5375
4,713,1120,642,2852,3494
2,344,540,252,688,940
1,2171,3578,763,2171,2934
3,344,540,475,1032,1507
1,713,1120,385,713,1098
1,1083,1701,244,1083,1327
3,2171,3578,2826,6513,9339
3,713,1120,1187,2139,3326
1,1555,2443,375,1555,1930
1,713,1120,172,713,885
1,2171,3578,1371,2171,3542
1,344,540,185,344,529
1,1083,1701,499,1083,1582
3,1555,2443,1125,4665,5790
1,713,1120,172,713,885
1,2171,3578,1371,2171,3542
1,1252,2295,538,1252,1790
1,2171,3578,620,2171,2791
1,1555,2443,864,1555,2419
3,344,540,556,1032,1588
3,1555,2443,1491,4665,6156
2,1083,1701,590,2166,2756
3,1083,1701,1191,3249,4440
2,344,540,381,688,1069
1,344,540,191,344,535
2,2171,3578,2742,4342,7084
1,1519,2443,900,1519,2419
1,1555,2443,864,1555,2419
4,2171,3578,3052,8684,11736
4,2171,3578,4626,8684,13310
2,713,1120,792,1426,2218
1,1266,2320,1008,1266,2274
1,2171,3578,763,2171,2934
3,1555,2443,1711,4665,6376
2,2171,3578,2742,4342,7084
1,2171,3578,1335,2171,3506
1,1252,2295,607,1252,1859
1,2171,3578,620,2171,2791
2,2171,3578,1240,4342,5582
1,344,540,99,344,443
1,1555,2443,570,1555,2125
1,713,1120,396,713,1109
1,1266,2320,567,1266,1833
1,1555,2443,839,1555,2394
3,1555,2443,2517,4665,7182
3,1555,2443,1345,4665,6010
3,713,1120,616,2139,2755
1,713,1120,228,713,941
3,713,1120,683,2139,2822
4,420,769,996,1680,2676
1,2171,3578,1335,2171,3506
1,2171,3578,1335,2171,3506
1,713,1120,362,713,1075
1,1555,2443,790,1555,2345
1,1555,2443,375,1555,1930
4,1083,1701,1247,4332,5579
3,344,540,232,1032,1264
3,2171,3578,1860,6513,8373
2,420,769,498,840,1338
1,2171,3578,906,2171,3077
1,2171,3578,1264,2171,3435
1,344,540,158,344,502
4,1083,1701,975,4332,5307
4,1555,2443,2282,6220,8502
1,713,1120,385,713,1098
1,713,1120,261,713,974
1,1083,1701,244,1083,1327
1,344,540,120,344,464
1,713,1120,329,713,1042
2,1252,2295,1260,2504,3764
1,487,783,186,487,673
3,1555,2443,905,4665,5570
1,1555,2443,497,1555,2052
2,1555,2443,750,3110,3860
1,344,540,191,344,535
4,713,1120,1046,2852,3898
4,344,540,698,1376,2074
4,344,540,395,1376,1771
4,1252,2295,2244,5008,7252
1,420,769,249,420,669
2,1898,3375,1537,3796,5333
2,2171,3578,1812,4342,6154
4,487,783,1121,1948,3069
2,1083,1701,794,2166,2960
1,1555,2443,375,1555,1930
1,2171,3578,1335,2171,3506
1,2171,3578,942,2171,3113
4,1266,2320,4030,5064,9094
1,1266,2320,752,1266,2018
1,344,540,126,344,470
3,344,540,475,1032,1507
3,2171,3578,2718,6513,9231
4,1555,2443,3454,6220,9674
1,1555,2443,839,1555,2394
2,1555,2443,750,3110,3860
1,1555,2443,448,1555,2003
2,1555,2443,1092,3110,4202
1,713,1120,385,713,1098
2,2171,3578,2742,4342,7084
1,1252,2295,951,1252,2203
1,1266,2320,1008,1266,2274
4,1898,3375,3478,7592,11070
1,1519,2443,484,1519,2003
1,487,783,280,487,767
4,1555,2443,1988,6220,8208
1,1266,2320,752,1266,2018
4,713,1120,1538,2852,4390
3,344,540,329,1032,1361
1,713,1120,396,713,1109
1,713,1120,172,713,885
1,1266,2320,752,1266,2018
2,1266,2320,1366,2532,3898
1,295,540,234,295,529
3,1898,3375,3115,5694,8809
2,2171,3578,1240,4342,5582
1,1555,2443,375,1555,1930
1,1555,2443,570,1555,2125
4,344,540,741,1376,2117
4,344,540,741,1376,2117
1,2171,3578,1335,2171,3506
3,1252,2295,2991,3756,6747
1,2171,3578,763,2171,2934
4,344,540,438,1376,1814
1,2171,3578,1335,2171,3506
3,1266,2320,2048,3798,5846
1,420,769,249,420,669
2,1555,2443,1678,3110,4788
1,2171,3578,942,2171,3113
1,1555,2443,375,1555,1930
2,1555,2443,1434,3110,4544
4,344,540,741,1376,2117
1,713,1120,261,713,974
3,1519,2443,1746,4557,6303
2,2171,3578,2671,4342,7013
1,2171,3578,942,2171,3113
1,1555,2443,448,1555,2003
4,1555,2443,3357,6220,9577
1,2171,3578,1335,2171,3506
2,1555,2443,1727,3110,4837
2,1266,2320,1366,2532,3898
1,1266,2320,729,1266,1995
2,420,769,636,840,1476
4,1266,2320,2174,5064,7238
1,2171,3578,1335,2171,3506
1,344,540,110,344,454
3,487,783,724,1461,2185
3,713,1120,616,2139,2755
1,1555,2443,570,1555,2125
1,2171,3578,1335,2171,3506
1,2171,3578,1335,2171,3506
4,1555,2443,2868,6220,9088
1,1555,2443,790,1555,2345
4,344,540,741,1376,2117
3,344,540,523,1032,1555
3,344,540,556,1032,1588
4,1083,1701,2336,4332,6668
1,713,1120,205,713,918
2,487,783,263,974,1237
1,344,540,77,344,421
1,2171,3578,1335,2171,3506
3,1252,2295,1683,3756,5439
3,1252,2295,2027,3756,5783
4,2171,3578,5485,8684,14169
1,1083,1701,346,1083,1429
1,344,540,99,344,443
3,1555,2443,1711,4665,6376
2,344,540,370,688,1058
3,344,540,572,1032,1604
4,1083,1701,1587,4332,5919
2,1083,1701,1168,2166,3334
4,713,1120,1046,2852,3898
3,1555,2443,1125,4665,5790
3,344,540,523,1032,1555
2,1252,2295,1122,2504,3626
1,1266,2320,567,1266,1833
3,1252,2295,3060,3756,6816
4,1083,1701,1383,4332,5715
1,1555,2443,351,1555,1906
1,344,540,185,344,529
1,1252,2295,676,1252,1928
1,2171,3578,548,2171,2719
1,2171,3578,942,2171,3113
4,487,783,1121,1948,3069
1,1555,2443,448,1555,2003
4,1252,2295,2703,5008,7711
1,1252,2295,745,1252,1997
2,1912,3400,2092,3824,5916
4,2171,3578,5342,8684,14026
1,2171,3578,1371,2171,3542
1,1083,1701,584,1083,1667
1,1555,2443,375,1555,1930
1,1555,2443,375,1555,1930
4,1555,2443,2282,6220,8502
2,2171,3578,2671,4342,7013
4,344,540,698,1376,2074
1,2171,3578,620,2171,2791
3,1252,2295,2027,3756,5783
3,1555,2443,1125,4665,5790
1,1555,2443,497,1555,2052
1,1555,2443,570,1555,2125
1,713,1120,261,713,974
2,1912,3400,2024,3824,5848
2,2171,3578,2528,4342,6870
1,1555,2443,717,1555,2272
1,1083,1701,550,1083,1633
2,1555,2443,1141,3110,4251
1,344,540,191,344,535
1,2171,3578,1335,2171,3506
1,713,1120,172,713,885
4,2171,3578,5342,8684,14026
4,2171,3578,5342,8684,14026
1,713,1120,250,713,963
1,1083,1701,584,1083,1667
1,2171,3578,1335,2171,3506
4,713,1120,1449,2852,4301
1,2171,3578,763,2171,2934
2,1555,2443,1678,3110,4788
2,1083,1701,522,2166,2688
1,713,1120,205,713,918
1,713,1120,172,713,885
1,2171,3578,1335,2171,3506
2,1266,2320,1783,2532,4315
4,2171,3578,5342,8684,14026
1,1555,2443,839,1555,2394
1,344,540,185,344,529
1,713,1120,172,713,885
1,2171,3578,1335,2171,3506
1,487,783,280,487,767
1,2171,3578,942,2171,3113
1,1555,2443,570,1555,2125
2,344,540,370,688,1058
1,1266,2320,752,1266,2018
4,1912,3400,4048,7648,11696
1,1555,2443,717,1555,2272
3,344,540,572,1032,1604
2,2171,3578,2313,4342,6655
2,344,540,370,688,1058
1,344,540,185,344,529
4,713,1120,1046,2852,3898
4,344,540,330,1376,1706
2,295,540,252,590,842
2,2171,3578,1669,4342,6011
1,1083,1701,312,1083,1395
4,1266,2320,2267,5064,7331
1,2171,3578,620,2171,2791
1,1555,2443,790,1555,2345
1,713,1120,250,713,963
4,487,783,526,1948,2474
3,344,540,248,1032,1280
4,344,540,762,1376,2138
3,713,1120,515,2139,2654
1,344,540,191,344,535
1,1252,2295,745,1252,1997
2,1266,2320,1087,2532,3619
1,2171,3578,620,2171,2791
3,2171,3578,3470,6513,9983
1,713,1120,385,713,1098
3,344,540,232,1032,1264
1,713,1120,261,713,974
4,1266,2320,3566,5064,8630
4,487,783,495,1948,2443
1,1083,1701,584,1083,1667
1,713,1120,385,713,1098
1,487,783,194,487,681
1,1252,2295,997,1252,2249
1,713,1120,385,713,1098
4,713,1120,1046,2852,3898
1,344,540,191,344,535
1,2171,3578,1371,2171,3542
1,1266,2320,683,1266,1949
1,1252,2295,561,1252,1813
1,2171,3578,1335,2171,3506
1,2171,3578,1335,2171,3506
2,2171,3578,2528,4342,6870
1,2171,3578,763,2171,2934
4,1555,2443,1695,6220,7915
2,344,540,349,688,1037
1,487,783,124,487,611
1,1555,2443,448,1555,2003
3,713,1120,616,2139,2755
1,2171,3578,1371,2171,3542
1,2171,3578,1264,2171,3435
1,2171,3578,763,2171,2934
3,1555,2443,1711,4665,6376
1,344,540,126,344,470
2,2171,3578,2671,4342,7013
3,1252,2295,2991,3756,6747
1,2171,3578,1157,2171,3328
1,1083,1701,397,1083,1480
4,2171,3578,2479,8684,11163
1,344,540,158,344,502
2,1266,2320,1273,2532,3805
1,420,769,249,420,669
1,1266,2320,1031,1266,2297
1,2171,3578,620,2171,2791
1,1083,1701,397,1083,1480
4,1555,2443,1988,6220,8208
1,1252,2295,997,1252,2249
1,1266,2320,683,1266,1949
4,2171,3578,2479,8684,11163
2,1555,2443,1434,3110,4544
1,2171,3578,1264,2171,3435
1,487,783,155,487,642
4,713,1120,642,2852,3494
1,1555,2443,839,1555,2394
1,1083,1701,346,1083,1429
1,487,783,288,487,775
1,2171,3578,620,2171,2791
1,2171,3578,1335,2171,3506
3,1266,2320,2257,3798,6055
1,295,540,148,295,443
1,1555,2443,448,1555,2003
1,487,783,288,487,775
1,1555,2443,717,1555,2272
4,2171,3578,3767,8684,12451
4,2171,3578,5342,8684,14026
1,1252,2295,745,1252,1997
1,420,769,249,420,669
1,2171,3578,620,2171,2791
3,2171,3578,3792,6513,10305
4,487,783,1121,1948,3069
1,1555,2443,497,1555,2052
1,344,540,126,344,470
2,344,540,370,688,1058
3,344,540,556,1032,1588
1,2171,3578,1371,2171,3542
3,344,540,523,1032,1555
3,713,1120,784,2139,2923
3,344,540,248,1032,1280
1,1266,2320,752,1266,2018
3,1266,2320,2257,3798,6055
4,1252,2295,2703,5008,7711
3,1252,2295,2991,3756,6747
1,2171,3578,1335,2171,3506
1,344,540,185,344,529
4,1555,2443,3454,6220,9674
1,1266,2320,752,1266,2018
3,1252,2295,2234,3756,5990
2,1519,2443,1506,3038,4544
2,487,783,561,974,1535
1,713,1120,161,713,874
4,1519,2443,3598,6076,9674
2,2171,3578,2742,4342,7084
1,2171,3578,1335,2171,3506
4,2171,3578,2479,8684,11163
1,487,783,280,487,767
1,1555,2443,717,1555,2272
1,1555,2443,497,1555,2052
3,344,540,556,1032,1588
3,344,540,361,1032,1393
1,344,540,191,344,535
1,713,1120,261,713,974
4,1252,2295,3988,5008,8996
1,2171,3578,906,2171,3077
1,713,1120,385,713,1098
1,1083,1701,601,1083,1684
2,1266,2320,1505,2532,4037
1,308,565,138,308,446
1,2171,3578,942,2171,3113
3,2171,3578,2504,6513,9017
2,1555,2443,994,3110,4104
1,1555,2443,375,1555,1930
1,344,540,191,344,535
4,344,540,741,1376,2117
3,344,540,248,1032,1280
1,2171,3578,1335,2171,3506
1,344,540,83,344,427
4,1252,2295,2520,5008,7528
1,308,565,184,308,492
1,487,783,280,487,767
4,1555,2443,2282,6220,8502
3,1555,2443,1491,4665,6156
1,1252,2295,538,1252,1790
4,487,783,495,1948,2443
1,2171,3578,656,2171,2827
4,713,1120,1583,2852,4435
1,308,565,184,308,492
4,487,783,1121,1948,3069
1,487,783,280,487,767
1,2171,3578,942,2171,3113
2,1555,2443,1141,3110,4251
3,1083,1701,1038,3249,4287
4,713,1120,1538,2852,4390
2,344,540,262,688,950
1,344,540,126,344,470
2,2171,3578,2671,4342,7013
1,1252,2295,745,1252,1997
2,487,783,310,974,1284
3,344,540,556,1032,1588
1,344,540,83,344,427
1,1266,2320,1031,1266,2297
1,1252,2295,676,1252,1928
1,1898,3375,735,1898,2633
2,2171,3578,2671,4342,7013
1,1083,1701,499,1083,1582
1,1083,1701,312,1083,1395
3,1555,2443,1711,4665,6376
1,713,1120,385,713,1098
3,2171,3578,3470,6513,9983
1,1555,2443,790,1555,2345
1,1083,1701,550,1083,1633
4,1555,2443,1793,6220,8013
1,420,769,249,420,669
2,2171,3578,1240,4342,5582
1,2171,3578,1264,2171,3435
1,487,783,124,487,611
1,2171,3578,763,2171,2934
1,1083,1701,584,1083,1667
1,1083,1701,312,1083,1395
4,1555,2443,3357,6220,9577
1,2171,3578,1335,2171,3506
3,1083,1701,1191,3249,4440
1,713,1120,385,713,1098
2,713,1120,411,1426,1837
3,713,1120,1154,2139,3293
1,713,1120,385,713,1098
1,713,1120,396,713,1109
1,344,540,185,344,529
4,1266,2320,2731,5064,7795
1,1266,2320,752,1266,2018
4,344,540,266,1376,1642
4,2171,3578,5342,8684,14026
3,487,783,841,1461,2302
2,1555,2443,750,3110,3860
3,1555,2443,1491,4665,6156
1,344,540,185,344,529
1,1555,2443,864,1555,2419
1,1555,2443,864,1555,2419
1,2171,3578,620,2171,2791
1,420,769,249,420,669
1,1252,2295,951,1252,2203
4,420,769,1273,1680,2953
4,2171,3578,2479,8684,11163
2,487,783,310,974,1284
2,713,1120,769,1426,2195
1,2171,3578,1335,2171,3506
3,713,1120,784,2139,2923
2,713,1120,344,1426,1770
1,487,783,288,487,775
4,2171,3578,5485,8684,14169
2,2171,3578,2671,4342,7013
1,2171,3578,1335,2171,3506
2,2171,3578,1812,4342,6154
3,1519,2443,2625,4557,7182
1,487,783,280,487,767
3,713,1120,1154,2139,3293
1,713,1120,385,713,1098
1,1555,2443,839,1555,2394
2,713,1120,769,1426,2195
1,1555,2443,570,1555,2125
1,1083,1701,346,1083,1429
2,344,540,252,688,940
4,2171,3578,2479,8684,11163
1,2171,3578,1335,2171,3506
2,2171,3578,2671,4342,7013
1,713,1120,385,713,1098
1,2171,3578,942,2171,3113
3,344,540,556,1032,1588
1,1083,1701,601,1083,1684
3,713,1120,1154,2139,3293
2,1519,2443,1506,3038,4544
1,344,540,185,344,529
2,344,540,198,688,886
1,2171,3578,1335,2171,3506
2,420,769,498,840,1338
4,1252,2295,2979,5008,7987
3,1519,2443,2625,4557,7182
2,1555,2443,1141,3110,4251
4,487,783,1121,1948,3069
1,2171,3578,656,2171,2827
4,2171,3578,3767,8684,12451
2,344,540,219,688,907
1,713,1120,385,713,1098
1,713,1120,396,713,1109
1,344,540,110,344,454
1,1252,2295,997,1252,2249
3,1252,2295,2991,3756,6747
1,1555,2443,864,1555,2419
1,1519,2443,387,1519,1906
1,1555,2443,570,1555,2125
4,1266,2320,2731,5064,7795
1,1266,2320,1008,1266,2274
2,1266,2320,1273,2532,3805
4,2171,3578,2479,8684,11163
1,487,783,280,487,767
1,344,540,83,344,427
4,487,783,1059,1948,3007
1,344,540,126,344,470
1,344,540,126,344,470
2,1266,2320,1366,2532,3898
3,1266,2320,3023,3798,6821
1,1083,1701,584,1083,1667
4,344,540,503,1376,1879
3,2171,3578,4006,6513,10519
1,1252,2295,1020,1252,2272
3,1266,2320,2257,3798,6055
1,2171,3578,906,2171,3077
1,2171,3578,620,2171,2791
1,2171,3578,1335,2171,3506
1,2171,3578,548,2171,2719
1,1083,1701,550,1083,1633
3,713,1120,1154,2139,3293
4,344,540,395,1376,1771
1,2171,3578,1335,2171,3506
3,420,769,678,1260,1938
4,1519,2443,1546,6076,7622
1,1555,2443,839,1555,2394
1,344,540,191,344,535
2,1083,1701,794,2166,2960
1,713,1120,172,713,885
2,1252,2295,1902,2504,4406
2,487,783,388,974,1362
2,713,1120,769,1426,2195
1,1252,2295,561,1252,1813
2,1266,2320,1134,2532,3666
4,1555,2443,3357,6220,9577
2,2171,3578,1812,4342,6154
1,1898,3375,1038,1898,2936
3,2171,3578,1860,6513,8373
4,344,540,438,1376,1814
4,1083,1701,2200,4332,6532
2,1083,1701,998,2166,3164
4,1555,2443,1500,6220,7720
1,1083,1701,499,1083,1582
2,344,540,349,688,1037
4,2171,3578,5485,8684,14169
1,1252,2295,997,1252,2249
1,1252,2295,745,1252,1997
1,308,565,184,308,492
4,1252,2295,3988,5008,8996
2,2171,3578,1240,4342,5582
1,2171,3578,763,2171,2934
1,713,1120,385,713,1098
1,713,1120,261,713,974
1,487,783,124,487,611
2,1555,2443,603,3110,3713
3,1555,2443,1125,4665,5790
1,1083,1701,346,1083,1429
4,1083,1701,1587,4332,5919
1,1266,2320,1008,1266,2274
4,1252,2295,4080,5008,9088
1,1083,1701,397,1083,1480
1,1083,1701,312,1083,1395
4,713,1120,822,2852,3674
1,2171,3578,1335,2171,3506
2,2171,3578,2671,4342,7013
1,1555,2443,595,1555,2150
4,1555,2443,1500,6220,7720
2,1555,2443,1141,3110,4251
1,1083,1701,584,1083,1667
3,1083,1701,1191,3249,4440
1,2171,3578,1335,2171,3506
3,1266,2320,2257,3798,6055
1,308,565,184,308,492
3,2171,3578,3040,6513,9553
4,1555,2443,3357,6220,9577
1,1555,2443,570,1555,2125
4,344,540,762,1376,2138
1,1083,1701,346,1083,1429
3,344,540,556,1032,1588
1,713,1120,396,713,1109
1,487,783,288,487,775
3,2171,3578,4006,6513,10519
1,1252,2295,1020,1252,2272
4,1266,2320,3845,5064,8909
1,420,769,249,420,669
2,2171,3578,2027,4342,6369
4,487,783,1121,1948,3069
4,1083,1701,2336,4332,6668
1,713,1120,396,713,1109
1,344,540,185,344,529
3,344,540,556,1032,1588
3,295,540,719,885,1604
1,1555,2443,302,1555,1857
2,344,540,381,688,1069
1,2171,3578,763,2171,2934
1,713,1120,261,713,974
3,1083,1701,935,3249,4184
1,713,1120,396,713,1109
1,713,1120,228,713,941
1,1266,2320,683,1266,1949
